id	circle	artist	coverImageName	1.booth	1.borrow
1	啫喱啫喱耶耶耶		A01.png	A01	FALSE
2	賣藝維生		A02.png	A02	FALSE
3	永夜墨藍		A03.png	A03	FALSE
4	Hexenversand魔女雜貨鋪		A04.png	A04	FALSE
5	Superb Market		A05.png	A05	FALSE
6	Bitten Fruit Market x 我將入稟起訴外星人		A06.png	A06	FALSE
7	Apo Recipe		B01.jpg	B01	FALSE
8	LunaTheMoon		B02.jpeg	B02	FALSE
9	Min's Kitchen		B02-1.jpg	B02	FALSE
10	Windgun烈風		B03.jpg	B03	FALSE
11	Kokoko		B03-1.jpg	B03	FALSE
12	氣象同人研究所		B04.jpeg	B04	FALSE
13	無憂小閣		B05.jpeg	B05	FALSE
14	可樂餅		C01.jpg	C01	FALSE
15	瑞希&藍良fanclub		C03.png	C03	FALSE
16	Minerva		C04.jpg	C04	FALSE
17	最後終結者		C05.png	C05	FALSE
18	塔塔手作		C06.png	C06	FALSE
19	Jun↗ko↘ Jun↗ko↘ /UKERU		D01.jpg	D01	FALSE
20	高橋根子		D02.jpeg	D02	FALSE
21	Pokelry		D03.jpg	D03	FALSE
22	eksMAN		D04.jpg	D04	FALSE
23	50%抹茶澀得起		D05.jpeg	D05	FALSE
24	Elle的攤檔		D06.jpg	D06	FALSE
25	Mochi Box 盒子餅		D06-1.jpg	D06	FALSE
26	四個女人一個虛		E01.png	E01	FALSE
27	Tomodachi T-shirt		E02.jpeg	E02	FALSE
28	キャンバス@Aズサ		E03.png	E03	FALSE
29	hoot		E04.png	E04	FALSE
30	minusbit-1		E04-1.png	E04	FALSE
31	Pic Up Doll		E05.jpg	E05	FALSE
32	HOMURA		E06.png	E06	FALSE
33	YuDan魚蛋		F01.jpeg	F01	FALSE
34	GraceKaori		F02.jpeg	F02	FALSE
35	160 is my name		F03.jpg	F03	FALSE
36	Mayu * 麻油		F04.jpg	F04	FALSE
37	子貓丸 Meow’s Create		F05.png	F05	FALSE
38	迪迪owo		F05-1.jpg	F05	FALSE
39	音音 and King Cosplay		F06.jpg	F06	FALSE
40	防空動		Y01-Y02.png	Y01-Y02	FALSE
41	Mikanya 蜜柑屋		Y03-Y04.png	Y03-Y04	FALSE
42	Irisstorejp日本動漫精品代購		Y05.jpg	Y05	FALSE
43	Mia Cosplay		Y06.jpg	Y06	FALSE
44	日夜被人喪隊		Y07.png	Y07	FALSE
45	龍與魔法師的快樂公廁		Y08.PNG	Y08	FALSE
46	frkz1024		Y09.png	Y09	FALSE
47	海屋		Y09-1.jpeg	Y09	FALSE
48	韶華閣		Y10.jpeg	Y10	FALSE
49	Kuro黑黑的不黑心小店		Y10-1.png	Y10	FALSE
50	企鵝萬事屋		Y11.png	Y11	FALSE
51	阿一工坊		Y12.jpg	Y12	FALSE
52	PuppyBubble		Y13.png	Y13	FALSE
53	KUMO:		Y13-1.jpg	Y13	FALSE
54	安蒂斯插畫萬事屋		Y14.jpg	Y14	FALSE
55	尋醬工坊		Y15-Y16.jpg	Y15-Y16	FALSE
56	Lanikai		Y17-Y18.jpeg	Y17-Y18	FALSE
57	CSoft 匯創紀		Z01-Z06.png	Z01-Z06	FALSE
58	Ehiru's Game		Z07.png	Z07	FALSE
59	Coffee Connection		Z08-1.JPG	Z08	FALSE
60	香港浸會大學動漫學會		Z08.jpg	Z08	FALSE
61	Penana		Z09-Z10.png	Z09-Z10	FALSE
62	官方攤位		Z09-Z10-1.png	Z09-Z10	FALSE
63	猿之茶寮		Z11.png	Z11	FALSE
64	魯蛇製品		Z12.png	Z12	FALSE
65	Mirukuti奶茶		Z13.png	Z13	FALSE
66	Silver * Here		Z14.jpg	Z14	FALSE
67	Amy在在在		Z15.jpeg	Z15	FALSE
68	Littlesshine晴兒		Z16.jpeg	Z16	FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
					FALSE
